GammaRay(API),ShaleVolume,Resistivity,Sonic,Vp(m/s),Vs(m/s),Density,NeutronPorosity,DensityPorosity(g/cc),PoissonRatio,Depth(m)
46.543,0.4016,0.18,133.31,7501.3127,3103.1246,2.1003,-999.25,0.3165,0.3968,2218
54.918,0.5272,0.21,134.31,7445.4619999999995,3022.5624,2.1109,-999.25,0.3045,0.4013,2219
51.887,0.4816,0.29,133.81,7473.283,3057.6346,2.1076,-999.25,0.3085,0.3995,2220
54.074,0.5144,0.41,131.06,7630.0931,3171.475,2.123,-999.25,0.2975,0.3956,2221
53.48,0.5054,0.56,124.28,8046.347,3501.6537,2.1518,-999.25,0.2799,0.3832,2222
61.855,0.6312,0.67,124.53,8030.1935,3450.3286,2.1657,-999.25,0.2654,0.3868,2223
64.652,0.6733,0.68,131.31,7615.5662,3113.6424,2.1406,-999.25,0.2793,0.3996,2224
63.949,0.6627,0.53,133.31,7501.3127,3027.4213,2.1309,-999.25,0.2859,0.4027,2225
54.543,0.5212,0.32,130.81,7644.6755,3180.9466,2.1249,-999.25,0.29600000000000004,0.3953,2226
47.043,0.4083,0.19,133.06,7515.4066,3112.2908,2.1021,-999.25,0.3151,0.3965,2227
44.199,0.3654,0.15,130.56,7659.3137,3238.842,2.1076,-999.25,0.3135,0.3911,2228
43.23,0.3507,0.15,128.56,7778.4692,3337.6367,2.1144,-999.25,0.31,0.3872,2229
48.137,0.4245,0.19,124.03,8062.5655,3539.5745,2.1432,-999.25,0.2888,0.3806,2230
48.668,0.4324,0.29,121.28,8245.3826,3681.4047,2.1569,-999.25,0.28,0.3755,2231
52.887,0.4959,0.5,125.03,7998.0805,3466.6084,2.1473,-999.25,0.2831,0.3843,2232
64.465,0.6703,0.68,127.03,7872.1562,3314.9471,2.1591,-999.25,0.2678,0.3922,2233
68.215,0.7269,0.72,122.78,8144.649,3510.4476,2.1854,-999.25,0.2485,0.3859,2234
55.199,0.5306,0.68,121.03,8262.4143,3663.7079,2.1699,-999.25,0.2674,0.3776,2235
65.277,0.6826,0.64,130.56,7659.3137,3145.1058,2.145,-999.25,0.2761,0.3986,2236
67.715,0.7193,0.61,138.56,7217.0901,2789.651,2.1158,-999.25,0.2929,0.4122,2237
73.277,0.8033,0.58,142.31,7026.9131,2618.9128,2.1106,-999.25,0.2925,0.4193,2238
65.84,0.691,0.59,139.31,7178.2356,2767.1218,2.1096,-999.25,0.2981,0.4127,2239
64.027,0.6637,0.6,129.81,7703.5668,3185.2017,2.146,-999.25,0.2763,0.3969,2240
63.137,0.6502,0.57,122.03,8194.7062,3573.1794,2.1796,-999.25,0.2557,0.3826,2241
58.48,0.5798,0.51,123.03,8128.0988,3542.8533,2.1665,-999.25,0.2673,0.3827,2242
55.074,0.5283,0.44,125.03,7998.0805,3456.6585,2.1511,-999.25,0.2793,0.3852,2243
61.637,0.6275,0.37,125.78,7950.3896,3389.0213,2.1596,-999.25,0.2694,0.389,2244
55.73,0.5381,0.34,127.03,7872.1562,3354.7046,2.1433,-999.25,0.2837,0.3891,2245
49.168,0.4388,0.36,126.03,7934.6187,3434.1643,2.1359,-999.25,0.2927,0.3847,2246
49.668,0.4463,0.41,123.03,8128.0988,3584.4909,2.1504,-999.25,0.2834,0.3793,2247
62.699,0.6434,0.5,125.53,7966.2232,3396.5723,2.1626,-999.25,0.2668,0.3889,2248
67.277,0.7127,0.62,129.81,7703.5668,3170.8348,2.1518,-999.25,0.2704,0.39799999999999996,2249
60.324,0.6074,0.62,123.53,8095.1995,3508.5283,2.1675,-999.25,0.2654,0.3844,2250
66.402,0.6995,0.55,127.78,7825.9509,3270.1979,2.1592,-999.25,0.2664,0.3942,2251
72.215,0.7876,0.49,138.56,7217.0901,2770.9286,2.1237,-999.25,0.2848,0.4136,2252
78.84,0.888,0.45,140.81,7101.7683,2654.3411,2.1263,-999.25,0.2786,0.4188,2253
78.215,0.8786,0.47,137.31,7282.7908,2797.0009,2.1394,-999.25,0.2706,0.4135,2254
69.152,0.7412,0.54,130.56,7659.3137,3128.0723,2.1519,-999.25,0.26899999999999996,0.3999,2255
68.777,0.7355,0.63,122.03,8194.7062,3546.7939,2.1899,-999.25,0.2452,0.3847,2256
60.824,0.6148,0.74,115.28,8674.5316,3959.9211,2.2082,-999.25,0.2394,0.3684,2257
70.402,0.7602,0.79,120.03,8331.2505,3645.4457,2.2025,-999.25,0.23600000000000002,0.3816,2258
63.199,0.6508,0.79,125.28,7982.1201,3406.7684,2.1647,-999.25,0.2652,0.3886,2259
57.449,0.5635,0.78,120.28,8313.9342,3693.7765,2.1774,-999.25,0.2612,0.377,2260
69.027,0.7393,0.76,113.78,8788.8908,4008.3889,2.2313,-999.25,0.2188,0.3687,2261
67.965,0.7232,0.77,118.78,8418.9257,3725.3426,2.2041,-999.25,0.2368,0.3783,2262
68.902,0.7375,0.75,126.53,7903.264,3319.1782,2.1693,-999.25,0.2582,0.3929,2263
69.402,0.7451,0.69,136.56,7322.7885,2864.8887,2.127,-999.25,0.2847,0.4096,2264
77.152,0.863,0.68,141.31,7076.64,2641.5704,2.1214,-999.25,0.2829,0.4191,2265
75.09,0.8317,0.67,138.06,7243.2276,2779.1774,2.1309,-999.25,0.2782,0.4137,2266
67.09,0.7099,0.67,126.53,7903.264,3327.4035,2.1661,-999.25,0.2615,0.3923,2267
